Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2011,19,LAA,AL,40,135,123,20,27,6,0,5,16,4,0,9,30,0.22,0.281,0.39,0.672,89,48,2,2,0,1,0,897/D,
2012 ★,20,LAA,AL,139,639,559,129,182,27,8,30,83,49,5,67,139,0.326,0.399,0.564,0.963,168,315,7,6,0,7,4,*87/9,ASMVP-2RoY-1SS
2013 ★,21,LAA,AL,157,716,589,109,190,39,9,27,97,33,7,110,136,0.323,0.432,0.557,0.988,179,328,8,9,0,8,10,*87/D,ASMVP-2SS
2014 ★,22,LAA,AL,157,705,602,115,173,39,9,36,111,16,2,83,184,0.287,0.377,0.561,0.939,168,338,6,10,0,10,6,*8/D,ASMVP-1SS
2015 ★,23,LAA,AL,159,682,575,104,172,32,6,41,90,11,7,92,158,0.299,0.402,0.59,0.991,176,339,11,10,0,5,14,*8/D,ASMVP-2SS
2016,24,LAA,AL,16,68,56,7,16,3,0,2,6,1,1,11,16,0.286,0.397,0.446,0.843,147,25,0,0,0,1,1,*8,
