Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG_Percentage,3P,3PA,3P_Percentage,2P,2PA,2P_Percentage,eFG_Percentage,FT,FTA,FT_Percentage,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-2008,19,SEA,NBA,SG,80,80,34.6,7.3,17.1,0.43,0.7,2.6,0.288,6.6,14.5,0.455,0.451,4.9,5.6,0.873,0.9,3.5,4.4,2.4,1,0.9,2.9,1.5,20.3
2008-2009,20,OKC,NBA,SF,74,74,39,8.9,18.8,0.476,1.3,3.1,0.422,7.6,15.7,0.486,0.51,6.1,7.1,0.863,1,5.5,6.5,2.8,1.3,0.7,3,1.8,25.3
2009-10 ★,21,OKC,NBA,SF,82,82,39.5,9.7,20.3,0.476,1.6,4.3,0.365,8.1,16.1,0.506,0.514,9.2,10.2,0.9,1.3,6.3,7.6,2.8,1.4,1,3.3,2.1,30.1
2010-11 ★,22,OKC,NBA,SF,78,78,38.9,9.1,19.7,0.462,1.9,5.3,0.35,7.3,14.4,0.504,0.509,7.6,8.7,0.88,0.7,6.1,6.8,2.7,1.1,1,2.8,2,27.7
2011-12 ★,23,OKC,NBA,SF,66,66,38.6,9.7,19.7,0.496,2,5.2,0.387,7.7,14.4,0.535,0.547,6.5,7.6,0.86,0.6,7.4,8,3.5,1.3,1.2,3.8,2,28
2012-13 ★,24,OKC,NBA,SF,81,81,38.5,9,17.7,0.51,1.7,4.1,0.416,7.3,13.6,0.539,0.559,8.4,9.3,0.905,0.6,7.3,7.9,4.6,1.4,1.3,3.5,1.8,28.1
2013-14 ★,25,OKC,NBA,SF,81,81,38.5,10.5,20.8,0.503,2.4,6.1,0.391,8.1,14.8,0.549,0.56,8.7,9.9,0.873,0.7,6.7,7.4,5.5,1.3,0.7,3.5,2.1,32
2014-15 ★,26,OKC,NBA,SF,27,27,33.8,8.8,17.3,0.51,2.4,5.9,0.403,6.4,11.4,0.565,0.578,5.4,6.3,0.854,0.6,6,6.6,4.1,0.9,0.9,2.7,1.5,25.4
2015-16 ★,27,OKC,NBA,SF,72,72,35.8,9.7,19.2,0.505,2.6,6.7,0.388,7.1,12.5,0.568,0.573,6.2,6.9,0.898,0.6,7.6,8.2,5,1,1.2,3.5,1.9,28.2
