
Season,Team,Lg,Salary
2007-08,Seattle SuperSonics,NBA,$4171200
2008-09,Oklahoma City Thunder,NBA,$4484040
2009-10,Oklahoma City Thunder,NBA,$4796880
2010-11,Oklahoma City Thunder,NBA,$6053663
2011-12,Oklahoma City Thunder,NBA,$15506632
2012-13,Oklahoma City Thunder,NBA,$16669630
2013-14,Oklahoma City Thunder,NBA,$17832627
2014-15,Oklahoma City Thunder,NBA,$18995624
Career,(may be incomplete),,$88510296
