
,,,,Even Strength,Even Strength,Even Strength,Power Play,Power Play,Power Play,Short-handed,Short-handed,Short-handed
Season,Age,Tm,Lg,Sh,GA,SV %,Sh,GA,SV %,Sh,GA,SV %
2007-08,31,COL,NHL,1103,91,.917,35,2,.943,228,29,.873
2008-09,32,WSH,NHL,1164,101,.913,47,3,.936,360,53,.853
2009-10,33,WSH,NHL,1026,79,.923,35,5,.857,247,36,.854
2010-11,34,MIN,NHL,761,64,.916,25,1,.960,177,16,.910
2011-12,35,FLA,NHL,1242,89,.928,31,2,.935,228,33,.855
2012-13,36,FLA,NHL,323,32,.901,7,0,1.000,60,10,.833
Career,,,NHL,5619,456,.919,180,13,.928,1300,177,.864
