Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2010,24,OAK,AL,14,34,32,1,5,1,0,1,4,0,0,2,12,0.156,0.206,0.281,0.487,32,9,0,0,0,0,0,/2D3,
2012,26,OAK,AL,75,294,274,34,66,16,0,9,33,4,1,14,61,0.241,0.289,0.398,0.687,91,109,6,5,0,1,0,5/23/2016,
2013,27,OAK,AL,158,668,579,89,174,37,3,24,93,5,2,76,110,0.301,0.384,0.499,0.883,145,289,15,6,1,6,2,*5/D36,MVP-4
2014 ★,28,OAK,AL,158,695,608,93,155,31,2,29,98,8,0,76,130,0.255,0.342,0.456,0.798,127,277,16,7,0,4,5,*5/D,ASMVP-8
2015 ★,29,TOR,AL,158,711,620,122,184,41,2,41,123,6,0,73,133,0.297,0.371,0.568,0.939,155,352,16,6,2,10,0,*5/D,ASMVP-1SS
2016,30,TOR,AL,17,75,67,16,19,5,1,6,15,1,0,7,21,0.284,0.36,0.657,1.017,184,44,1,1,0,0,0,*5/D,
