
Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2008-09,20,CHI,NBA,PG,81,3000,16.0,.516,.060,.207,3.7,8.4,6.1,28.8,1.1,0.4,13.3,22.6,,3.4,1.5,4.9,.078,,0.9,-1.5,-0.6,1.1
2009-10 ★,21,CHI,NBA,PG,78,2871,18.6,.532,.044,.246,2.6,8.7,5.7,30.3,1.0,0.7,12.5,27.2,,3.5,2.5,6.0,.100,,1.7,-1.3,0.5,1.8
2010-11 ★,22,CHI,NBA,PG,81,3026,23.5,.550,.241,.348,3.2,9.4,6.4,38.7,1.5,1.3,13.1,32.2,,8.3,4.8,13.1,.208,,5.8,0.1,5.9,6.0
2011-12 ★,23,CHI,NBA,PG,39,1375,23.0,.532,.249,.344,2.1,8.4,5.3,40.3,1.4,1.4,12.9,30.5,,4.1,2.0,6.0,.211,,5.5,-0.6,4.9,2.4
2013-14,25,CHI,NBA,PG,10,311,9.7,.446,.287,.195,3.3,8.3,5.9,26.2,0.9,0.2,16.0,31.5,,-0.6,0.4,-0.2,-0.036,,-2.8,-2.3,-5.1,-0.2
2014-15,26,CHI,NBA,PG,51,1530,15.9,.493,.325,.224,2.6,8.7,5.7,30.7,1.2,0.8,14.9,31.7,,0.0,1.2,1.2,.038,,1.1,-2.3,-1.3,0.3
2015-16,27,CHI,NBA,PG,66,2097,13.4,.479,.143,.171,2.4,8.8,5.6,25.5,1.1,0.5,13.4,27.3,,-0.8,1.2,0.4,.009,,-1.2,-2.1,-3.3,-0.7
Career,,,NBA,,406,14210,18.3,.519,.167,.257,2.9,8.8,5.9,32.0,1.2,0.8,13.3,28.2,,17.9,13.5,31.4,.106,,2.2,-1.2,1.0,10.6
