
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
2011*,22,CAR,QB,1,16,16,6-10-0,310,517,60.0,4051,21,4.1,17,3.3,91,7.8,7.2,13.1,253.2,84.5,56.16,35,260,6.87,6.24,6.3,1,1,19
2012,23,CAR,QB,1,16,16,7-9-0,280,485,57.7,3869,19,3.9,12,2.5,82,8.0,7.6,13.8,241.8,86.2,57.59,36,244,6.96,6.65,6.9,1,1,16
2013*,24,CAR,QB,1,16,16,12-4-0,292,473,61.7,3379,24,5.1,13,2.7,79,7.1,6.9,11.6,211.2,88.8,61.06,43,336,5.90,5.69,8.3,4,4,16
2014,25,CAR,QB,1,14,14,5-8-1,262,448,58.5,3127,18,4.0,12,2.7,51,7.0,6.6,11.9,223.4,82.1,54.35,38,300,5.82,5.45,7.8,3,2,12
2015*+,26,CAR,QB,1,16,16,15-1-0,296,496,59.7,3837,35,7.1,10,2.0,74,7.7,8.2,13.0,239.8,99.2,66.09,33,284,6.72,7.19,6.2,3,4,20
Career,,,,,78,78,45-32-1,1440,2419,59.5,18263,117,4.8,64,2.6,91,7.5,7.3,12.7,234.1,88.2,,185,1424,6.47,6.26,7.1,12,12,83
