
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
2011*,22,CAR,QB,1,16,16,126,706,14,49,5.6,44.1,7.9,1,1,27,27.0,0,27,0.1,1.7,733,14,5
2012,23,CAR,QB,1,16,16,127,741,8,72,5.8,46.3,7.9,1,0,6,,0,6,0.0,0.4,747,8,10
2013*,24,CAR,QB,1,16,16,111,585,6,56,5.3,36.6,6.9,,,,,,,,,585,6,3
2014,25,CAR,QB,1,14,14,103,539,5,22,5.2,38.5,7.4,,,,,,,,,539,5,12
2015*+,26,CAR,QB,1,16,16,132,636,10,47,4.8,39.8,8.3,,,,,,,,,636,10,5
Career,,,,,78,78,599,3207,43,72,5.4,41.1,7.7,2,1,33,33.0,0,27,0.0,0.4,3240,43,35
