
Season,Team,Lg,Salary
2009-10,Golden State Warriors,NBA,$2710560
2010-11,Golden State Warriors,NBA,$2913840
2011-12,Golden State Warriors,NBA,$3117120
2012-13,Golden State Warriors,NBA,$3958742
2013-14,Golden State Warriors,NBA,$9887642
2014-15,Golden State Warriors,NBA,$10629213
Career,(may be incomplete),,$33217117
